ethyne	ethene	ethane
2.1545893719806766	1.4672131147540983	0.0
6.618357487922706	2.4918032786885242	0.0
0.0	5.254098360655737	3.815533980582525
0.0	0.0	5.6213592233009715
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
6.280193236714977	3.2459016393442623	0.0
22.07729468599034	10.0	3.718446601941748
100.0	60.81967213114754	22.621359223300974
2.077294685990338	61.967213114754095	32.33009708737865
0.0	100.0	100.0
0.0	2.0327868852459017	21.2621359223301
0.0	0.0	20.97087378640777
