ethyne	ethene	ethane	1butanal	1butanol	1butene	1pentene	2butanone	2buten1ol(crotyl alcohol)	2butenalE(crotonaldehyde)	2butenalZ(crotonaldehyde)	2buteneE	2buteneZ	2methylbut1ene	2methylbut2ene	2pentanone	2penteneE	2penteneZ	3methylbut1ene	3pentanone	13butadiene	acetaldehyde	aceticacid	acetone	butane	carbon dioxide	carbon monoxide	diethylether	ethanol	ethylacetate	hexane	isobutene	methane	pentane	propane	propene	water
2.1545893719806766	1.4672131147540983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3131716055585283	1.6695076641251163	3.6935359169164474	0.0	0.0	97.35114774687723	8.12692482365469	0.0	0.0	0.0	0.0	2.2418233487159402	4.0820031640597625	0.0	0.0	3.7716811103106287	0.0
6.618357487922706	2.4918032786885242	0.0	0.0	1.8709436446952548	0.0	0.0	0.0	1.3584033710883254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46343342034229	12.673189279099189	7.679424891299776	0.0	0.0	0.0	0.0	3.0023239580466616	0.0	0.0	2.9443449123571326	11.311390732064433	0.0	0.0	5.779217666857455	0.0
0.0	5.254098360655737	3.815533980582525	4.266709874567056	6.601004765598622	0.0	1.711736922469088	0.0	5.590000625494639	0.0	13.789613328164906	3.579882537798577	1.3548258288406714	1.5765405003346273	1.719930971882535	4.083158232235843	0.0	0.0	4.230113473019307	0.0	1.5898219249704693	19.565491981628107	29.15526013853417	38.60277394506534	3.2471281578327904	0.0	0.0	1.4866516531009688	3.0794927099948644	15.923567205031738	1.7772147404431735	10.85646353184254	21.24528021571274	0.0	3.9526246427531526	13.80029467078936	0.0
0.0	0.0	5.6213592233009715	14.132427485248588	22.21732495240432	13.38101785174153	10.835441427514246	41.48397912695378	14.661899272874894	0.0	46.68969738273464	16.688306296035556	7.313007733698548	9.979636488087934	10.043332907351303	34.061597413039614	9.54093790061704	10.443266522377737	26.465620593380933	1.7811777533883164	0.0	64.3408260121593	100.0	100.0	23.940531636567407	0.0	0.0	6.648929633510597	13.839778296711714	73.87557926717795	16.889417223286166	32.67418969694138	90.66103181717774	7.346619049871291	12.712999603937204	21.908972379554196	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.283907934874706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.826794300422911	13.697542870459278	6.932066949359727	0.0	100.0	2.7367239766308558	0.0	0.0	1.3915037650334245	0.0	0.0	100.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4175626297468347	0.0	12.955706226150852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.545647483198253	0.0	0.0	0.0	0.0	0.0	1.39674852512785	1.360055663710025	0.0	0.0	1.6030961726264898	0.0	0.0	0.0	21.761591605717715
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.60680872322217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.280193236714977	3.2459016393442623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22.07729468599034	10.0	3.718446601941748	0.0	0.0	3.9565101383640258	0.0	0.0	3.5441163148101746	11.378474586386565	12.49857783514392	2.8567647552499156	2.402573353528317	0.0	0.0	1.4481694928128357	0.0	0.0	0.0	0.0	5.638604922460981	3.0458883085721666	1.691691755685684	7.763365032269391	0.0	0.0	0.0	0.0	3.7059492271871606	0.0	0.0	2.0535736822576127	0.0	0.0	0.0	5.182450082722928	0.0
