Source:	Measured	Measured	Measured	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected	NIST Webbook-TuningCorrected
Molecules	Acetylene	Ethylene	Ethane	1butanal	1butanol	1butene	1pentene	2butanone	2buten1ol(crotyl alcohol)	2butenalE(crotonaldehyde)	2butenalZ(crotonaldehyde)	2buteneE	2buteneZ	2methylbut1ene	2methylbut2ene	2pentanone	2penteneE	2penteneZ	3methylbut1ene	3pentanone	13butadiene	acetaldehyde	aceticacid	acetone	butane	carbon dioxide	carbon monoxide	diatomicHydrogen	diethylether	ethanol	ethylacetate	hexane	isobutene	methane	pentane	propane	propene	water
Electron Numbers	14	16	18	40	42	32	40	40	40	38	38	32	32	40	40	48	40	40	40	48	30	24	32	32	34	22	14	2	42	26	48	50	32	10	42	26	24	10
ionizationEfficiencies	1.0	1.0857142857142859	1.1714285714285713	2.1142857142857143	2.2	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.0285714285714285	2.0285714285714285	1.7714285714285714	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.457142857142857	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.457142857142857	1.685714285714286	1.4285714285714284	1.7714285714285714	1.7714285714285714	1.8571428571428572	1.44	1.07	0.43	2.2	1.5142857142857142	2.457142857142857	2.5428571428571427	1.7714285714285714	0.8285714285714285	2.2	1.5142857142857142	1.4285714285714284	0.97
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown	unknown	unknown	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown
Molecular Mass	26.04	28.05	30.07	72.11	74.12	56.11	70.13	72.11	72.11	70.09	70.09	56.1063	56.11	70.13	70.13	86.13	70.13	70.13	70.13	86.13	54.09	44.05	60.05	58.08	58.12	44.01	28.01	2.02	74.12	46.07	88.11	86.18	56.11	16.04	72.15	44.1	42.08	18.02
1.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.067675126735365798e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.585881244566712256e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.620962143621625717e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.565062081188402177e-01	0.000000000000000000e+00
2.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.254992037086216428e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.056750105979200605e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.248692607569771851e-01	0.000000000000000000e+00	3.754412542784114210e-02	0.000000000000000000e+00	1.933931906701596148e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.449662456936722355e-02	1.709191124449784549e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.917047829746931220e-01	0.000000000000000000e+00
1.200000000000000000e+01	2.154589371980676571e+00	1.467213114754098324e+00	5.087378640776699656e-01	1.706066372360462713e-01	4.110948300334909544e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.214192846204919962e-01	0.000000000000000000e+00	0.000000000000000000e+00	5.725739405103857926e-01	4.296680852148323515e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.382866217647133023e-01	0.000000000000000000e+00	8.136942771088129245e-01	1.020358123878598811e+00	3.143559691833212266e+00	0.000000000000000000e+00	2.596762526482036537e-01	7.931860960021373330e+01	4.992554936753682782e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.689377252584334577e-01	0.000000000000000000e+00	1.869114386857581578e-01	1.389124484124990122e+00	3.325885958722859304e+00	0.000000000000000000e+00	3.401193746261996220e-01	2.337086273833832717e+00	0.000000000000000000e+00
1.300000000000000000e+01	6.618357487922706284e+00	2.491803278688524248e+00	1.067961165048543659e+00	5.351064663973936764e-01	1.217762812648999660e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.811856635760623169e-01	0.000000000000000000e+00	0.000000000000000000e+00	5.986246549791508498e-01	4.492169326428084863e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.073556720288453059e-01	0.000000000000000000e+00	6.380365330527175693e-01	3.544086614015715231e+00	1.144826750407096583e+01	6.937173311063339121e+00	5.429817745783003247e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.405868671303834583e-01	1.954157453112330245e+00	0.000000000000000000e+00	1.954154521862825622e-01	1.936435002708800424e+00	9.781928494255602402e+00	0.000000000000000000e+00	7.111879493008124165e-01	3.800872422048102717e+00	0.000000000000000000e+00
1.400000000000000000e+01	3.362318840579710533e-01	5.254098360655737210e+00	3.815533980582524798e+00	2.960205959846017088e+00	4.532383218652928925e+00	0.000000000000000000e+00	1.171359666294210289e+00	0.000000000000000000e+00	3.825296505153860771e+00	0.000000000000000000e+00	9.567113011673393785e+00	2.483691166138950912e+00	9.318995784794714687e-01	1.078843325823408250e+00	1.176966940905479930e+00	2.832859437222771337e+00	5.590459162236351975e-01	6.119173567823663618e-01	2.934815696820092246e+00	6.209843255307830878e-01	1.103004534112830726e+00	1.338887293815199264e+01	2.778339691529513900e+01	3.678637012501328485e+01	2.252829090277856050e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.020765056800623682e+00	2.114441903372720422e+00	1.089666532436221758e+01	1.216166829126898774e+00	7.532119360019108534e+00	1.938141665306418560e+01	5.770639594342680256e-01	2.704822815788281432e+00	9.574523633680886547e+00	0.000000000000000000e+00
